2.5e-4 0.1 hard (0,10] 0.1 1.4852
2.5e-4 0.1 hard (10,100] 0.1 2.3390714285714287
2.5e-4 0.1 soft (0,10] 0.13768115942028986 2.9567840579710145
2.5e-4 0.1 soft (10,100] 0.1 1.4787361702127662
2.5e-4 0.5 hard (0,10] 0.1 2.0194
2.5e-4 0.5 hard (10,100] 0.1 0.8956
2.5e-4 0.5 hard (100,1e+03] 0.10449438202247192 0.35190337078651684
2.5e-4 0.5 soft (0,10] 0.13333333333333333 3.736062222222222
2.5e-4 0.5 soft (10,100] 0.13404255319148936 1.0712978723404256
2.5e-4 0.5 soft (100,1e+03] 0.10536912751677852 0.3377208053691275
2.5e-4 1 hard (0,10] 0.1 2.0358
2.5e-4 1 hard (10,100] 0.1 1.320184
2.5e-4 1 hard (100,1e+03] 0.11573033707865168 0.20902696629213482
2.5e-4 1 soft (0,10] 0.1519230769230769 3.311346153846154
2.5e-4 1 soft (10,100] 0.10289855072463767 0.8015188405797101
2.5e-4 1 soft (100,1e+03] 0.14732824427480914 0.2703267175572519
0.001 0.1 hard (0,10] 0.1 2.668483333333333
0.001 0.1 hard (10,100] 0.1 1.6576
0.001 0.1 soft (0,10] 0.2464019851116625 3.804134491315136
0.001 0.1 soft (10,100] 0.1 1.7476196078431374
0.001 0.5 hard (0,10] 0.1 2.8177333333333334
0.001 0.5 hard (10,100] 0.1 1.2415466666666668
0.001 0.5 hard (100,1e+03] 0.1 0.4932774193548387
0.001 0.5 soft (0,10] 0.2538860103626943 4.037849222797927
0.001 0.5 soft (10,100] 0.18759124087591242 0.942592700729927
0.001 0.5 soft (100,1e+03] 0.1011049723756906 0.4896839779005525
0.001 1 hard (0,10] 0.1 1.1432
0.001 1 hard (10,100] 0.12222222222222223 0.9724666666666666
0.001 1 hard (100,1e+03] 0.11142857142857143 0.34901714285714286
0.001 1 soft (0,10] 0.2553884711779449 3.8964416040100254
0.001 1 soft (10,100] 0.13305785123966943 0.9569768595041321
0.001 1 soft (100,1e+03] 0.15238095238095237 0.39471666666666666
0.005 0.1 hard (0,10] 0.1181818181818182 2.7552
0.005 0.1 soft (0,10] 0.7854514088556642 4.307966072455434
0.005 0.1 soft (10,100] 0.1825 2.666025
0.005 0.5 hard (0,10] 0.1 2.8253545454545455
0.005 0.5 hard (10,100] 0.1 1.748263157894737
0.005 0.5 hard (100,1e+03] 0.1 0.8406
0.005 0.5 soft (0,10] 0.8746478873239436 4.024882394366197
0.005 0.5 soft (10,100] 0.24432989690721651 1.6694424742268041
0.005 0.5 soft (100,1e+03] 0.10689655172413792 1.2818896551724137
0.005 1 hard (0,10] 0.1 2.4589866666666667
0.005 1 hard (10,100] 0.11428571428571428 2.0807428571428574
0.005 1 hard (100,1e+03] 0.1 1.43593
0.005 1 soft (0,10] 0.8572385368366822 3.9621300360638845
0.005 1 soft (10,100] 0.28687089715536107 1.537559737417943
0.005 1 soft (100,1e+03] 0.1510344827586207 0.9524696551724139
