opt mu large mesize_soft msojourn_soft mean_soft mesize_hard msojourn_hard mean_hard mesize_old msojourn_old mean_old
0.1 2e-4 0 0.0065 2.8597 2.335 0.0014 2.7555 1.8436 0.0024 4.1851 1.3077
0.1 2e-4 1 0.0594 2.1455 1.1317 0.0575 2.4093 1.1111 NA NA NA
0.1 0.001 0 0.012 3.2166 4.9487 0.0062 2.9986 3.402 0.0014 3.6837 1.75
0.1 0.005 0 0.0027 3.5181 19.544 0.0011 3.0492 12.7207 4e-4 3.4129 4.538
0.1 0.005 1 -0.0016 2.2806 2 -0.0016 2.2806 2 NA NA NA
0.5 2e-4 0 -6e-4 3.2923 2.092 -0.0027 3.0929 1.6697 8e-4 4.152 1.08
0.5 2e-4 1 0.1474 0.6753 1.9609 0.0939 0.9507 1.7359 NA NA NA
0.5 0.001 0 0.0075 3.2526 5.1886 0.0012 3.0487 3.4801 1e-4 3.8024 1.5255
0.5 0.001 1 0.1952 0.3267 1.2491 0.1548 0.4196 1.1143 NA NA NA
0.5 0.005 0 0.0111 3.2653 23.223 0.003 3.0149 13.3911 6e-4 3.3846 4.6931
0.5 0.005 1 0.012 1.6938 2 NA NA NA NA NA NA
1 2e-4 0 1e-4 3.1813 2.2277 -0.0022 2.9252 1.7623 -8e-4 3.8904 1.2
1 2e-4 1 0.2292 0.5635 2.4731 0.1775 0.7775 1.7132 NA NA NA
1 0.001 0 0.0056 3.2677 4.9865 0.002 3.0716 3.4078 -8e-4 3.7877 1.6222
1 0.001 1 0.3305 0.2165 1.6595 0.2448 0.3315 1.2462 NA NA NA
1 0.005 0 0.0139 3.1887 23.4602 0.0034 3.0246 13.6865 3e-4 3.5421 4.1329
1 0.005 1 0.2812 0.4081 1.0814 0.2701 0.8358 1 NA NA NA
